Name,Jon,Kevin,Nate
1 Acrobatic Leap (LCI) 2,D+,D,D
1 Deconstruction Hammer (LCI) 9,G,D-,G
1 Miner's Guidewing (LCI) 24,C-,C,C-
1 Oteclan Landmark (LCI) 29,G,D,D
1 Attentive Sunscribe (LCI) 4,C,C,C
1 Cosmium Blast (LCI) 7,D,D+,C-
1 Thousand Moons Crackshot (LCI) 37,G,D,D+
1 Family Reunion (LCI) 13,D+,D+,D+
1 Ironpaw Aspirant (LCI) 18,C,C+,C+
1 Petrify (LCI) 30,D+,C,C+
1 Envoy of Okinec Ahau (LCI) 11,D,D,D+
1 Glorifier of Suffering (LCI) 15,C+,C+,C+
1 Thousand Moons Infantry (LCI) 38,C-,C,C
1 Tinker's Tote (LCI) 40,C+,B-,B-
1 Adaptive Gemguard (LCI) 3,D-,D-,D-
1 Oltec Cloud Guard (LCI) 28,C,C-,C
1 Oltec Archaeologists (LCI) 27,D,D,D
1 Quicksand Whirlpool (LCI) 31,D+,D,C-
1 Soaring Sandwing (LCI) 35,G,G,G
1 Cogwork Wrestler (LCI) 49,B-,C+,C
1 Orazca Puzzle-Door (LCI) 68,D,D,D
1 Relic's Roar (LCI) 71,G,D-,G
1 Brackish Blunder (LCI) 46,C-,C+,C
1 Inverted Iceberg (LCI) 60,C-,D-,D
1 Oaken Siren (LCI) 66,B-,C,C+
1 Pirate Hat (LCI) 70,G,G,G
1 River Herald Scout (LCI) 72,C,B-,C+
1 Shipwreck Sentry (LCI) 75,D,D,D
1 Song of Stupefaction (LCI) 77,G,G,G
1 Sage of Days (LCI) 73,D+,C,C
1 Waterwind Scout (LCI) 84,C+,C+,C+
1 Ancestral Reminiscence (LCI) 45,C-,C,C
1 Frilled Cave-Wurm (LCI) 57,G,D-,G
1 Out of Air (LCI) 69,D,D,D-
1 Waylaying Pirates (LCI) 85,D-,G,D-
1 Unlucky Drop (LCI) 82,D-,D-,D-
1 Didact Echo (LCI) 53,G,G,G
1 Marauding Brinefang (LCI) 64,D,D-,D-
1 Dead Weight (LCI) 99,B,C+,C+
1 Greedy Freebooter (LCI) 109,C-,C+,C
1 Deathcap Marionette (LCI) 100,C+,C-,C-
1 Echo of Dusk (LCI) 104,D,D,D
1 Fanatical Offering (LCI) 105,C+,D+,C-
1 Fungal Fortitude (LCI) 106,G,G,G
1 Mephitic Draught (LCI) 112,C-,D,D+
1 Skullcap Snail (LCI) 119,C,D+,C
1 Tithing Blade (LCI) 128,C-,D,D
1 Acolyte of Aclazotz (LCI) 89,D,D,D
1 Another Chance (LCI) 90,C,C-,C-
1 Deep Goblin Skulltaker (LCI) 101,C+,D+,D+
1 Join the Dead (LCI) 110,B+,B,B+
1 Screaming Phantom (LCI) 118,C-,D,D
1 Broodrage Mycoid (LCI) 95,D,D-,D
1 Vito's Inquisitor (LCI) 130,C-,D-,C-
1 Primordial Gnawer (LCI) 114,C,C-,D+
1 Ray of Ruin (LCI) 117,D,D+,D
1 Rampaging Spiketail (LCI) 116,C-,C-,D
1 Goblin Tomb Raider (LCI) 151,C-,C-,C-
1 Sunfire Torch (LCI) 167,D,D-,G
1 Tectonic Hazard (LCI) 169,G,G,G
1 Abrade (LCI) 131,B+,A-,A-
1 Ancestors' Aid (LCI) 132,G,G,G
1 Burning Sun Cavalry (LCI) 138,D,D+,D+
1 Sunshot Militia (LCI) 168,G,D,C-
1 Volatile Wanderglyph (LCI) 172,C-,D+,C
1 Brazen Blademaster (LCI) 136,C-,C-,C-
1 Etali's Favor (LCI) 149,D,D,D+
1 Hotfoot Gnome (LCI) 154,D+,D,D-
1 Idol of the Deep King (LCI) 155,D-,D+,D+
1 Child of the Volcano (LCI) 140,C,C,C+
1 Plundering Pirate (LCI) 160,D+,D+,D
1 Dinotomaton (LCI) 144,C,C,C
1 Rumbling Rockslide (LCI) 163,C,C,C
1 Daring Discovery (LCI) 142,D,D,D
1 Panicked Altisaur (LCI) 159,C,D,C
1 Seismic Monstrosaur (LCI) 166,C,C,C
1 Seeker of Sunlight (LCI) 210,G,C-,C-
1 Basking Capybara (LCI) 175,C,C,C-
1 Disturbed Slumber (LCI) 182,G,D-,G
1 Malamet Brawler (LCI) 199,D,D-,D
1 Poison Dart Frog (LCI) 207,B-,C+,C+
1 Over the Edge (LCI) 205,D,D,D+
1 Staggering Size (LCI) 214,C-,D+,D+
1 Huatli's Final Strike (LCI) 190,C,C-,C-
1 Armored Kincaller (LCI) 174,C+,C,C+
1 In the Presence of Ages (LCI) 192,D,G,D-
1 Kaslem's Stonetree (LCI) 197,G,G,D-
1 River Herald Guide (LCI) 209,D+,C+,C+
1 Malamet Scythe (LCI) 200,G,G,G+
1 Mineshaft Spider (LCI) 202,D+,C,C-
1 Pathfinding Axejaw (LCI) 206,C+,C+,C+
1 Malamet Veteran (LCI) 201,C,C,C
1 Walk with the Ancestors (LCI) 218,G,G,G
1 Cavern Stomper (LCI) 177,C,D+,C-
1 Nurturing Bristleback (LCI) 203,C,C-,D+
1 Hunter's Blowgun (LCI) 255,D,D,D
1 Buried Treasure (LCI) 246,G,D-,D-
1 Compass Gnome (LCI) 250,D,D,D
1 Cartographer's Companion (LCI) 248,D,D,D
1 Disruptor Wanderglyph (LCI) 253,D-,D,D
1 Runaway Boulder (LCI) 259,D-,G,G
1 Captivating Cave (LCI) 268,D+,D,D+
1 Hidden Cataract (LCI) 273,C,C,C
1 Hidden Courtyard (LCI) 274,C,C,C
1 Hidden Necropolis (LCI) 275,C,C,C
1 Hidden Nursery (LCI) 276,C,C,C
1 Hidden Volcano (LCI) 277,C,C,C
1 Promising Vein (LCI) 279,D,D-,D-
1 Dusk Rose Reliquary (LCI) 10,C+,C+,C+
1 Helping Hand (LCI) 17,C+,D+,D+
1 Market Gnome (LCI) 22,B-,B-,B-
1 Ruin-Lurker Bat (LCI) 33,C,C-,C
1 Clay-Fired Bricks (LCI) 6,C-,D+,C-
1 Dauntless Dismantler (LCI) 8,D+,C-,C-
1 Guardian of the Great Door (LCI) 16,B-,C+,C+
1 Spring-Loaded Sawblades (LCI) 36,B+,B+,B+
1 Vanguard of the Rose (LCI) 42,B-,B,B-
1 Bat Colony (LCI) 5,D-,D-,G
1 Kinjalli's Dawnrunner (LCI) 19,B-,B,B
1 Might of the Ancestors (LCI) 23,G,G,G
1 Mischievous Pup (LCI) 25,B-,B-,C+
1 Malamet War Scribe (LCI) 21,B,C,C+
1 Spyglass Siren (LCI) 78,B,B,B
1 Waterlogged Hulk (LCI) 83,C+,D+,D
1 Chart a Course (LCI) 48,B-,C,C+
1 Eaten by Piranhas (LCI) 54,B-,B-,B-
1 Hermitic Nautilus (LCI) 58,B-,B-,B-
1 Lodestone Needle (LCI) 62,C+,C-,C
1 Staunch Crewmate (LCI) 79,B,C+,C+
1 Confounding Riddle (LCI) 50,B,B+,A-
1 Merfolk Cave-Diver (LCI) 65,B-,C+,C+
1 Zoetic Glyph (LCI) 86,C+,B,C+
1 Hurl into History (LCI) 59,C-,D+,D+
1 Council of Echoes (LCI) 51,D+,D+,C-
1 Self-Reflection (LCI) 74,D,D,C-
1 Sinuous Benthisaur (LCI) 76,D,D-,D
1 Bloodthorn Flail (LCI) 93,D-,D+,D+
1 Bitter Triumph (LCI) 91,A-,B+,B+
1 Canonized in Blood (LCI) 96,C-,D-,G
1 Deep-Cavern Bat (LCI) 102,B,B,B
1 Visage of Dread (LCI) 129,A-,B-,B-
1 Malicious Eclipse (LCI) 111,D,D-,D-
1 Soulcoil Viper (LCI) 120,B-,B,B-
1 Stinging Cave Crawler (LCI) 124,C+,C,C
1 Synapse Necromage (LCI) 125,C+,C+,C+
1 Chupacabra Echo (LCI) 97,B+,B,B
1 Grasping Shadows (LCI) 108,D-,G,G
1 Defossilize (LCI) 103,C-,D,D+
1 Abyssal Gorestalker (LCI) 87,G,G,G
1 Gargantuan Leech (LCI) 107,G,D-,D-
1 Diamond Pick-Axe (LCI) 143,,D,D
1 Dreadmaw's Ire (LCI) 147,,C-,D+
1 Triumphant Chomp (LCI) 170,,B-,B-
1 Belligerent Yearling (LCI) 133,,B,B
1 Dowsing Device (LCI) 146,,G,G
1 Enterprising Scallywag (LCI) 148,,C+,C+
1 Saheeli's Lattice (LCI) 164,,C,C
1 Zoyowa's Justice (LCI) 173,,D-,D-
1 Calamitous Cave-In (LCI) 139,,D-,G
1 Scytheclaw Raptor (LCI) 165,,B,B
1 Curator of Sun's Creation (LCI) 141,,D,D+
1 Geological Appraiser (LCI) 150,,A-,A-
1 Rampaging Ceratops (LCI) 162,,D,D
1 Goldfury Strider (LCI) 152,,D-,D
1 Cenote Scout (LCI) 178,,B+,B
1 Glowcap Lantern (LCI) 187,,D+,D+
1 Ixalli's Lorekeeper (LCI) 194,,C,C
1 Malamet Battle Glyph (LCI) 198,,C,C
1 Twists and Turns (LCI) 217,,C-,C
1 Explorer's Cache (LCI) 184,,D,D+
1 Glimpse the Core (LCI) 186,,C,C+
1 Tendril of the Mycotyrant (LCI) 215,,C,C+
1 Coati Scavenger (LCI) 179,,D+,D+
1 Spelunking (LCI) 213,,G,G
1 Thrashing Brontodon (LCI) 216,,C,C+
1 Colossadactyl (LCI) 180,,B-,B-
1 Jade Seedstones (LCI) 195,,D,D
1 Earthshaker Dreadmaw (LCI) 183,,C-,C-
1 Swashbuckler's Whip (LCI) 263,,D+,D+
1 Contested Game Ball (LCI) 251,,G+,G+
1 Digsite Conservator (LCI) 252,,D,D
1 Sorcerous Spyglass (LCI) 261,,G,G
1 Careening Mine Cart (LCI) 247,,C,C-
1 Sunbird Standard (LCI) 262,,D+,D
1 Scampering Surveyor (LCI) 260,,D+,D+
1 Hoverstone Pilgrim (LCI) 254,,G,D-
1 Cavernous Maw (LCI) 270,,D-,G
1 Forgotten Monument (LCI) 272,,D+,D+
1 Pit of Offerings (LCI) 278,,C,C
1 Volatile Fault (LCI) 286,,G,G
1 Master's Guide-Mural (LCI) 233,,C+,C+
"1 Uchbenbak, the Great Mistake (LCI) 242",,C-,C-
1 Zoyowa Lava-Tongue (LCI) 245,,B,B-
"1 Itzquinth, Firstborn of Gishath (LCI) 230",,B+,B+
"1 Kutzil, Malamet Exemplar (LCI) 232",,C,C
1 Bartolome del Presidio (LCI) 224,,B,B
"1 Captain Storm, Cosmium Raider (LCI) 227",,B,B
"1 Akawalli, the Seething Tower (LCI) 220",,C+,C+
1 Caparocti Sunborn (LCI) 226,,A-,B+
"1 Nicanzil, Current Conductor (LCI) 236",,C+,B-