Name,Notes,Kevin,Color,Rarity
Forum Familiar,,D+,W,U
Krovod Haunch,,C-,W,U
Wrench,,D+,W,U
Perimeter Enforcer,,C,W,U
Call a Surprise Witness,,D+,W,U
Case of the Gateway Express,,C,W,U
Case of the Pilfered Proof,,D+,W,U
Neighborhood Guardian,,B-,W,U
Not on My Watch,,C-,W,U
Sanctuary Wall,,C-,W,U
Case File Auditor,,D,W,U
Karlov Watchdog,,C-,W,U
Absolving Lammasu,,D+,W,U
Essence of Antiquity,,C+,W,U
,,,,
Candlestick,,D+,U,U
Case of the Filched Falcon,,C+,U,U
Curious Inquiry,,D+,U,U
Mistway Spy,,C,U,U
Burden of Proof,,C,U,U
Eliminate the Impossible,,D,U,U
Exit Specialist,,B,U,U
Fae Flight,,D+,U,U
Forensic Researcher,,C,U,U
Furtive Courier,,C,U,U
Sudden Setback,,B-,U,U
Surveillance Monitor,,B,U,U
Living Conundrum,,D+,U,U
Agency Outfitter,,C+,U,U
,,,,
Case of the Gorgon's Kiss,,D+,B,U
Festerleech,,B-,B,U
Lead Pipe,,D,B,U
Leering Onlooker,,C,B,U
Long Goodbye,,C+,B,U
Presumed Dead,,D+,B,U
Clandestine Meddler,,B,B,U
Slimy Dualleech,,B-,B,U
Nightdrinker Moroii,,C,B,U
Soul Enervation,,C+,B,U
It Doesn't Add Up,,C-,B,U
Polygraph Orb,,C,B,U
Undercity Eliminator,,B,B,U
Persuasive Interrogators,,C-,B,U
,,,,
Convenient Target,,D,R,U
Frantic Scapegoat,,C-,R,U
Knife,,D+,R,U
Torch the Witness,,B-,R,U
Concealed Weapon,,C,R,U
Expose the Culprit,,D,R,U
Reckless Detective,,D-,R,U
Vengeful Tracker,,C-,R,U
Case of the Burning Masks,,B-,R,U
Crime Novelist,,D+,R,U
Harried Dronesmith,,B+,R,U
Caught Red-Handed,,D+,R,U
Cornered Crook,,B,R,U
Bolrac-Clan Basher,,B-,R,U
,,,,
Get a Leg Up,,C+,G,U
Hard-Hitting Question,,B-,G,U
Hedge Whisperer,,D+,G,U
Rope,,D+,G,U
Aftermath Analyst,,C,G,U
Flourishing Bloom-Kin,,D+,G,U
Case of the Trampled Garden,,B,G,U
Pompous Gadabout,,C-,G,U
Sample Collector,,C,G,U
Chalk Outline,,D+,G,U
Greenbelt Radical,,B,G,U
A Killer Among Us,,C,G,U
Culvert Ambusher,,C+,G,U
Glint Weaver,,C-,G,U
,,,,
No More Lies,,C+,M,U
Private Eye,,C,M,U
Curious Cadaver,,B,M,U
Coerced to Kill,,C-,M,U
Rune-Brand Juggler,,A-,M,U
Deadly Complication,,B+,M,U
Break Out,,C-,M,U
Tin Street Gossip,,C+,M,U
Sumala Sentry,,B-,M,U
Buried in the Garden,,B,M,U
Soul Search,,C-,M,U
Wispdrinker Vampire,,C,M,U
Gleaming Geardrake,,B,M,U
Detective's Satchel,,C+,M,U
Insidious Roots,,D+,M,U
Kraul Whipcracker,,B,M,U
Lightning Helix,,B,M,U
Meddling Youths,,C+,M,U
Evidence Examiner,,B-,M,U
Repulsive Mutation,,C-,M,U
Push // Pull,,C,M,U
Hustle // Bustle,,C,M,U
Cease // Desist,,D,M,U
Fuss // Bother,,B-,M,U
Flotsam // Jetsam,,D+,M,U
,,,,
Case of the Shattered Pact,,D+,C,U
Lumbering Laundry,,D+,C,U
Magnetic Snuffler,,D+,C,U
Branch of Vitu-Ghazi,,C+,L,U
Scene of the Crime,,C+,L,U